-; ClassicTarget; (257, -183); [Coordinates(1, 1)]
-; ClassicTarget; (518, -427); [Coordinates(1, 1)]
-; ClassicTarget; (495, -360); [Coordinates(1, 1)]
-; ClassicTarget; (514, -344); [Coordinates(1, 1)]
-; ClassicTarget; (529, -370); [Coordinates(1, 1)]
-; ClassicTarget; (547, -403); [Coordinates(1, 1)]
-; ClassicTarget; (562, -410); [Coordinates(1, 1)]
-; ClassicTarget; (518, -397); [Coordinates(1, 1)]
-; ClassicTarget; (586, -416); [Coordinates(1, 1)]
-; ClassicTarget; (605, -438); [Coordinates(1, 1)]
-; ClassicTarget; (614, -427); [Coordinates(1, 1)]
-; ClassicTarget; (658, -399); [Coordinates(1, 1)]
-; ClassicTarget; (660, -364); [Coordinates(1, 1)]
-; ClassicTarget; (662, -320); [Coordinates(1, 1)]
-; ClassicTarget; (627, -314); [Coordinates(1, 1)]
-; ClassicTarget; (686, -314); [Coordinates(1, 1)]
-; ClassicTarget; (601, -327); [Coordinates(1, 1)]
-; ClassicTarget; (560, -305); [Coordinates(1, 1)]
-; ClassicTarget; (560, -344); [Coordinates(1, 1)]
-; ClassicTarget; (569, -357); [Coordinates(1, 1)]
-; ClassicTarget; (590, -375); [Coordinates(1, 1)]
-; ClassicTarget; (619, -377); [Coordinates(1, 1)]
-; ClassicTarget; (627, -366); [Coordinates(1, 1)]
-; ClassicTarget; (625, -392); [Coordinates(1, 1)]
-; ClassicTarget; (621, -338); [Coordinates(1, 1)]
-; ClassicTarget; (623, -236); [Coordinates(1, 1)]
-; ClassicTarget; (634, -162); [Coordinates(1, 1)]
-; ClassicTarget; (597, -85); [Coordinates(1, 1)]
-; ClassicTarget; (603, -55); [Coordinates(1, 1)]
-; ClassicTarget; (601, -27); [Coordinates(1, 1)]
-; ClassicTarget; (599, -18); [Coordinates(1, 1)]
-; ClassicTarget; (340, -233); [Coordinates(1, 1)]
-; ClassicTarget; (320, -212); [Coordinates(1, 1)]
-; ClassicTarget; (336, -212); [Coordinates(1, 1)]
-; ClassicTarget; (325, -177); [Coordinates(1, 1)]
-; ClassicTarget; (301, -227); [Coordinates(1, 1)]
-; ClassicTarget; (290, -172); [Coordinates(1, 1)]
-; ClassicTarget; (294, -181); [Coordinates(1, 1)]
-; ClassicTarget; (305, -153); [Coordinates(1, 1)]
-; ClassicTarget; (336, -129); [Coordinates(1, 1)]
-; ClassicTarget; (334, -94); [Coordinates(1, 1)]
-; ClassicTarget; (355, -75); [Coordinates(1, 1)]
-; ClassicTarget; (377, -57); [Coordinates(1, 1)]
-; ClassicTarget; (410, -38); [Coordinates(1, 1)]
-; ClassicTarget; (431, -18); [Coordinates(1, 1)]
-; ClassicTarget; (464, -5); [Coordinates(1, 1)]
-; ClassicTarget; (486, 1); [Coordinates(1, 1)]
-; ClassicTarget; (503, 9); [Coordinates(1, 1)]
-; ClassicTarget; (323, -27); [Coordinates(1, 1)]
-; ClassicTarget; (307, -98); [Coordinates(1, 1)]
-; ClassicTarget; (320, -55); [Coordinates(1, 1)]
-; ClassicTarget; (431, 38); [Coordinates(1, 1)]
-; ClassicTarget; (377, -1); [Coordinates(1, 1)]
-; ClassicTarget; (338, -57); [Coordinates(1, 1)]
-; ClassicTarget; (312, -105); [Coordinates(1, 1)]
-; ClassicTarget; (856, -259); [Coordinates(1, 1)]
-; ClassicTarget; (845, -240); [Coordinates(1, 1)]
-; ClassicTarget; (869, -214); [Coordinates(1, 1)]
-; ClassicTarget; (864, -190); [Coordinates(1, 1)]
-; ClassicTarget; (858, -190); [Coordinates(1, 1)]
-; ClassicTarget; (849, -212); [Coordinates(1, 1)]
-; ClassicTarget; (810, -262); [Coordinates(1, 1)]
-; ClassicTarget; (862, -129); [Coordinates(1, 1)]
-; ClassicTarget; (851, -155); [Coordinates(1, 1)]
-; ClassicTarget; (871, -153); [Coordinates(1, 1)]
-; ClassicTarget; (834, -103); [Coordinates(1, 1)]
-; ClassicTarget; (827, -116); [Coordinates(1, 1)]
-; ClassicTarget; (819, -72); [Coordinates(1, 1)]
-; ClassicTarget; (803, -64); [Coordinates(1, 1)]
-; ClassicTarget; (782, -42); [Coordinates(1, 1)]
-; ClassicTarget; (758, -24); [Coordinates(1, 1)]
-; ClassicTarget; (736, -7); [Coordinates(1, 1)]
-; ClassicTarget; (723, 1); [Coordinates(1, 1)]
-; ClassicTarget; (699, 11); [Coordinates(1, 1)]
-; ClassicTarget; (658, 18); [Coordinates(1, 1)]
-; ClassicTarget; (655, 11); [Coordinates(1, 1)]
-; ClassicTarget; (638, 3); [Coordinates(1, 1)]
-; ClassicTarget; (534, 5); [Coordinates(1, 1)]
-; ClassicTarget; (566, 1); [Coordinates(1, 1)]
-; ClassicTarget; (584, 3); [Coordinates(1, 1)]
-; ClassicTarget; (568, 33); [Coordinates(1, 1)]
-; ClassicTarget; (486, 38); [Coordinates(1, 1)]
-; ClassicTarget; (527, 42); [Coordinates(1, 1)]
-; ClassicTarget; (477, 46); [Coordinates(1, 1)]
-; ClassicTarget; (455, 35); [Coordinates(1, 1)]
-; ClassicTarget; (416, 25); [Coordinates(1, 1)]
-; ClassicTarget; (864, -70); [Coordinates(1, 1)]
-; ClassicTarget; (873, -83); [Coordinates(1, 1)]
-; ClassicTarget; (873, -33); [Coordinates(1, 1)]
-; ClassicTarget; (851, 22); [Coordinates(1, 1)]
-; ClassicTarget; (860, -11); [Coordinates(1, 1)]
-; ClassicTarget; (860, -9); [Coordinates(1, 1)]
-; ClassicTarget; (803, -18); [Coordinates(1, 1)]
-; ClassicTarget; (649, 44); [Coordinates(1, 1)]
-; ClassicTarget; (610, 31); [Coordinates(1, 1)]
-; ClassicTarget; (592, 48); [Coordinates(1, 1)]
-; ClassicTarget; (366, 22); [Coordinates(1, 1)]
-; ClassicTarget; (364, -7); [Coordinates(1, 1)]
-; ClassicTarget; (329, 9); [Coordinates(1, 1)]
-; ClassicTarget; (351, -24); [Coordinates(1, 1)]
-; ClassicTarget; (384, -1); [Coordinates(1, 1)]
-; ClassicTarget; (370, 48); [Coordinates(1, 1)]
-; ClassicTarget; (351, 66); [Coordinates(1, 1)]
-; ClassicTarget; (379, 101); [Coordinates(1, 1)]
-; ClassicTarget; (410, 72); [Coordinates(1, 1)]
-; ClassicTarget; (384, 92); [Coordinates(1, 1)]
-; ClassicTarget; (386, 142); [Coordinates(1, 1)]
-; ClassicTarget; (416, 144); [Coordinates(1, 1)]
-; ClassicTarget; (431, 99); [Coordinates(1, 1)]
-; ClassicTarget; (444, 92); [Coordinates(1, 1)]
-; ClassicTarget; (453, 105); [Coordinates(1, 1)]
-; ClassicTarget; (451, 153); [Coordinates(1, 1)]
-; ClassicTarget; (471, 173); [Coordinates(1, 1)]
-; ClassicTarget; (497, 214); [Coordinates(1, 1)]
-; ClassicTarget; (501, 242); [Coordinates(1, 1)]
-; ClassicTarget; (516, 279); [Coordinates(1, 1)]
-; ClassicTarget; (531, 301); [Coordinates(1, 1)]
-; ClassicTarget; (560, 312); [Coordinates(1, 1)]
-; ClassicTarget; (597, 312); [Coordinates(1, 1)]
-; ClassicTarget; (651, 299); [Coordinates(1, 1)]
-; ClassicTarget; (703, 264); [Coordinates(1, 1)]
-; ClassicTarget; (723, 205); [Coordinates(1, 1)]
-; ClassicTarget; (766, 140); [Coordinates(1, 1)]
-; ClassicTarget; (814, 101); [Coordinates(1, 1)]
-; ClassicTarget; (843, 68); [Coordinates(1, 1)]
-; ClassicTarget; (845, 7); [Coordinates(1, 1)]
-; ClassicTarget; (825, -35); [Coordinates(1, 1)]
-; ClassicTarget; (806, 1); [Coordinates(1, 1)]
-; ClassicTarget; (780, 9); [Coordinates(1, 1)]
-; ClassicTarget; (747, 27); [Coordinates(1, 1)]
-; ClassicTarget; (708, 51); [Coordinates(1, 1)]
-; ClassicTarget; (666, 70); [Coordinates(1, 1)]
-; ClassicTarget; (669, 59); [Coordinates(1, 1)]
-; ClassicTarget; (605, 77); [Coordinates(1, 1)]
-; ClassicTarget; (619, 81); [Coordinates(1, 1)]
-; ClassicTarget; (536, 81); [Coordinates(1, 1)]
-; ClassicTarget; (566, 85); [Coordinates(1, 1)]
-; ClassicTarget; (560, 79); [Coordinates(1, 1)]
-; ClassicTarget; (471, 88); [Coordinates(1, 1)]
-; ClassicTarget; (460, 75); [Coordinates(1, 1)]
-; ClassicTarget; (477, 83); [Coordinates(1, 1)]
-; ClassicTarget; (481, 131); [Coordinates(1, 1)]
-; ClassicTarget; (505, 85); [Coordinates(1, 1)]
-; ClassicTarget; (492, 149); [Coordinates(1, 1)]
-; ClassicTarget; (508, 181); [Coordinates(1, 1)]
-; ClassicTarget; (534, 149); [Coordinates(1, 1)]
-; ClassicTarget; (579, 162); [Coordinates(1, 1)]
-; ClassicTarget; (610, 168); [Coordinates(1, 1)]
-; ClassicTarget; (529, 125); [Coordinates(1, 1)]
-; ClassicTarget; (566, 122); [Coordinates(1, 1)]
-; ClassicTarget; (603, 127); [Coordinates(1, 1)]
-; ClassicTarget; (634, 125); [Coordinates(1, 1)]
-; ClassicTarget; (682, 112); [Coordinates(1, 1)]
-; ClassicTarget; (688, 101); [Coordinates(1, 1)]
-; ClassicTarget; (662, 101); [Coordinates(1, 1)]
-; ClassicTarget; (743, 72); [Coordinates(1, 1)]
-; ClassicTarget; (736, 79); [Coordinates(1, 1)]
-; ClassicTarget; (760, 85); [Coordinates(1, 1)]
-; ClassicTarget; (799, 53); [Coordinates(1, 1)]
-; ClassicTarget; (786, 62); [Coordinates(1, 1)]
-; ClassicTarget; (795, 44); [Coordinates(1, 1)]
-; ClassicTarget; (801, 75); [Coordinates(1, 1)]
-; ClassicTarget; (760, 131); [Coordinates(1, 1)]
-; ClassicTarget; (771, 105); [Coordinates(1, 1)]
-; ClassicTarget; (712, 122); [Coordinates(1, 1)]
-; ClassicTarget; (719, 144); [Coordinates(1, 1)]
-; ClassicTarget; (716, 153); [Coordinates(1, 1)]
-; ClassicTarget; (686, 183); [Coordinates(1, 1)]
-; ClassicTarget; (749, 166); [Coordinates(1, 1)]
-; ClassicTarget; (703, 190); [Coordinates(1, 1)]
-; ClassicTarget; (695, 233); [Coordinates(1, 1)]
-; ClassicTarget; (699, 266); [Coordinates(1, 1)]
-; ClassicTarget; (662, 283); [Coordinates(1, 1)]
-; ClassicTarget; (623, 299); [Coordinates(1, 1)]
-; ClassicTarget; (695, 286); [Coordinates(1, 1)]
-; ClassicTarget; (714, 312); [Coordinates(1, 1)]
-; ClassicTarget; (712, 233); [Coordinates(1, 1)]
-; ClassicTarget; (679, 170); [Coordinates(1, 1)]
-; ClassicTarget; (669, 164); [Coordinates(1, 1)]
-; ClassicTarget; (649, 164); [Coordinates(1, 1)]
-; ClassicTarget; (653, 133); [Coordinates(1, 1)]
-; ClassicTarget; (640, 207); [Coordinates(1, 1)]
-; ClassicTarget; (655, 223); [Coordinates(1, 1)]
-; ClassicTarget; (564, 212); [Coordinates(1, 1)]
-; ClassicTarget; (553, 188); [Coordinates(1, 1)]
-; ClassicTarget; (534, 229); [Coordinates(1, 1)]
-; ClassicTarget; (547, 260); [Coordinates(1, 1)]
-; ClassicTarget; (586, 264); [Coordinates(1, 1)]
-; ClassicTarget; (597, 257); [Coordinates(1, 1)]
-; ClassicTarget; (651, 255); [Coordinates(1, 1)]
-; ClassicTarget; (614, 253); [Coordinates(1, 1)]
-; ClassicTarget; (612, 212); [Coordinates(1, 1)]
-; ClassicTarget; (573, 214); [Coordinates(1, 1)]
-; Spawn; (588, 484); [Coordinates(1, 1)]
